"State","State_full","Vaccination_total","Vaccination_rate","Cases_total","Deaths_total","Cases_rate","Deaths_rate","Population.2018","Vaccination_total_prop","Vaccination_rate_prop","Cases_total_prop","Cases_rate_prop","Deaths_total_prop","Deaths_rate_prop","total_vacation_trips","eviction_moratorium_duration","eviction_moratorium_duration_prop","total_mask_mandate_duration","total_mask_mandate_duration_prop","stay_at_home_duration","stay_at_home_prop","Weekly_UI_Amount","total_vacation_trips_prop"
"AL","Alabama",1435542,12275.9340659341,543405,11146,572.344370860927,10.4966887417219,4887871,0.293694739488829,0.00251150942116395,0.11117416969474,0.00011709481916788,0.00228033841318644,2.14749708855284e-06,4733102,59,0.105357142857143,267,0.476785714285714,26,0.0464285714285714,875,0.968336111980042
"AK","Alaska",288367,2013.36263736264,69627,352,110.092715231788,0.549668874172185,737438,0.391038975479973,0.0027302127600729,0.0944174289906406,0.000149290808490732,0.000477328263528595,7.45376389841838e-07,1900688,100,0.178571428571429,28,0.05,27,0.0482142857142857,970,2.57742074587965
"AZ","Arizona",2750893,24066.032967033,881450,17628,707.953642384106,14.8675496688742,7171646,0.383579027743422,0.00335571958892463,0.122907628179082,9.87156424597792e-05,0.00245801312557814,2.07310144266381e-06,11060810,221,0.394642857142857,0,0,46,0.0821428571428571,840,1.54229726341763
"AR","Arkansas",944541,7774.64835164835,341381,5833,414.596026490066,5.78145695364238,3013825,0.313402735726195,0.00257966151042225,0.113271673040074,0.000137564731359673,0.00193541429910496,1.91831209630366e-06,3490815,0,0,253,0.451785714285714,0,0,1051,1.15826731810905
"CA","California",17190096,158034.934065934,3789883,63249,3048.84105960265,78.9933774834437,39557045,0.434564715337053,0.00399511475303411,0.0958080412730526,7.70745403151992e-05,0.00159893136608157,1.99694839398251e-06,43352894,493,0.880357142857143,410,0.732142857142857,312,0.557142857142857,1050,1.09595886143669
"CO","Colorado",2626373,23527.4615384615,546168,6723,965.456953642384,6.95364238410596,5695564,0.461126062317972,0.00413083963914049,0.0958935761234533,0.000169510333593369,0.00118039231935591,1.22088741064203e-06,12631387,117,0.208928571428571,303,0.541071428571429,32,0.0571428571428571,1218,2.21775876805177
"CT","Connecticut",1919418,18500.6373626374,347341,8238,474.894039735099,4.25165562913907,3572665,0.537251043688675,0.0051783857044076,0.097221821805291,0.000132924312728761,0.00230584171759737,1.19005158030184e-06,1976055,504,0.9,469,0.8375,58,0.103571428571429,1249,0.55310391542448
"DE","Delaware",424699,3847.43956043956,108866,1661,160.23178807947,2.70198675496689,967171,0.439114696367033,0.00397803445351397,0.112561274066323,0.000165670587806572,0.00171737986354016,2.79370117069979e-06,378259,106,0.189285714285714,388,0.692857142857143,69,0.123214285714286,1000,0.391098368334038
"FL","Florida",8604034,76081.6483516484,2320810,36773,4501.8940397351,53.5165562913907,21299325,0.40395805970377,0.00357202157118352,0.108961668973078,0.000211363225817489,0.00172648663748734,2.51259400433538e-06,24996083,182,0.325,0,0,45,0.0803571428571429,875,1.17356221382603
"GA","Georgia",3390039,29053.5164835165,1099169,20180,1123.27814569536,27.4437086092715,10519475,0.322263135755349,0.00276187894201151,0.104488959762726,0.000106780818025174,0.00191834668555227,2.60884774280765e-06,15237780,0,0,0,0,28,0.05,965,1.44853046373512
"ID","Idaho",594867,5064.37362637363,192084,2092,191.695364238411,2.18543046357616,1754208,0.339108589175286,0.00288698582287484,0.1094989875773,0.000109277442719684,0.00119256097338514,1.24582174039576e-06,2427630,46,0.0821428571428571,0,0,37,0.0660714285714286,1048,1.38388948174903
"IL","Illinois",5164526,47441.2087912088,1386189,25223,1538.85430463576,20.9072847682119,12741080,0.405344444897921,0.00372348409955897,0.108796820991627,0.000120778953168472,0.00197965949511344,1.6409350516763e-06,19606892,499,0.891071428571429,406,0.725,69,0.123214285714286,1084,1.53887205794171
"IN","Indiana",2525116,21332.3736263736,747032,13620,723.443708609272,9.33774834437086,6691878,0.377340411764829,0.00318780073790551,0.111632638849662,0.000108107725306599,0.00203530309428833,1.39538532297972e-06,7960401,149,0.266071428571429,253,0.451785714285714,54,0.0964285714285714,990,1.18956158495418
"IA","Iowa",1386586,13129.5164835165,371424,6055,278.317880794702,4.70860927152318,3156145,0.439328991538728,0.00415998519824548,0.11768280608147,8.8182856235915e-05,0.00191847966427398,1.49188623194536e-06,3348826,70,0.125,82,0.146428571428571,0,0,1081,1.06104947649744
"KS","Kansas",1127172,10027.2417582418,315860,5114,242.933774834437,3.64900662251656,2911505,0.387144105883383,0.00344400636723679,0.10848684786734,8.3439243564561e-05,0.00175647989613619,1.25330597835709e-06,4761782,358,0.639285714285714,272,0.485714285714286,35,0.0625,1088,1.63550534860837
"KY","Kentucky",1740232,15149.5604395604,460060,6938,495.046357615894,17.0529801324503,4468402,0.389452873756658,0.00339037544955902,0.102958507314248,0.000110788232038186,0.00155268035418478,3.8163486929892e-06,4509602,162,0.289285714285714,336,0.6,95,0.169642857142857,1152,1.00922029844226
"LA","Louisiana",1475204,12024.0549450549,470685,10576,736.258278145695,9.0794701986755,4659978,0.316568876505426,0.00258028148310034,0.10100584165848,0.000157996084562136,0.00226953861155568,1.94839336122949e-06,5754381,91,0.1625,264,0.471428571428571,53,0.0946428571428571,847,1.23485153792572
"ME","Maine",734124,6884.08791208791,67780,825,169.602649006623,1.29801324503311,1338404,0.548507027773378,0.00514350518385175,0.0506424069264587,0.000126720070327511,0.000616405808709478,9.69821701842726e-07,619907,138,0.246428571428571,388,0.692857142857143,59,0.105357142857143,1045,0.463168818981414
"MD","Maryland",2913967,26415.8571428571,460106,9614,564.87417218543,12.841059602649,6042718,0.482227865010414,0.00437151909833574,0.0761422260644961,9.3480147871443e-05,0.00159100590164889,2.12504697433324e-06,5699962,504,0.9,392,0.7,46,0.0821428571428571,1030,0.943277842851512
"MA","Massachusetts",3712245,35034.3626373626,706945,17872,908.854304635762,12.8344370860927,6902149,0.537839012168529,0.00507586298663831,0.10242389725287,0.000131677004456983,0.00258933847994299,1.85948421080054e-06,4484406,433,0.773214285714286,388,0.692857142857143,55,0.0982142857142857,1423,0.649711560848657
"MI","Michigan",4218678,36876.2307692308,990199,20361,2404.60264900662,30.887417218543,9995915,0.422040203423098,0.00368913008656344,0.0990603661595762,0.000240558533061418,0.00203693208675744,3.0900039884836e-06,10596661,118,0.210714285714286,418,0.746428571428571,69,0.123214285714286,962,1.06009915050298
"MN","Minnesota",2633141,23681.0879120879,601477,7519,844.344370860927,7.99337748344371,5611179,0.46926697579956,0.00422034084317893,0.107192623867462,0.000150475394005596,0.0013400035892635,1.42454508819692e-06,6546251,504,0.9,293,0.523214285714286,51,0.0910714285714286,1340,1.16664447881631
"MS","Mississippi",868489,7111.35164835165,317713,7316,321.264900662252,5.70860927152318,2986530,0.290802034468095,0.00238114187647593,0.106381988461526,0.000107571295336813,0.00244966566550478,1.91145217745115e-06,3879923,59,0.105357142857143,56,0.1,24,0.0428571428571429,835,1.29914080889862
"MO","Missouri",2152134,18742.2967032967,615408,9676,1113.76158940397,12.6423841059603,6126452,0.351285540146238,0.00305924158114627,0.100450962482037,0.000181795530170476,0.00157938069212001,2.0635735179122e-06,8309586,0,0,0,0,28,0.05,920,1.35634556510032
"MT","Montana",420198,3545.36263736264,111928,1613,108.377483443709,2.29139072847682,1062305,0.395553066209799,0.00333742440952705,0.105363337271311,0.000102021061224139,0.00151839631744179,2.15699891130779e-06,1404467,56,0.1,212,0.378571428571429,29,0.0517857142857143,1152,1.32209393724025
"NE","Nebraska",818458,7214.20879120879,223676,2495,178.105960264901,2.28476821192053,1929268,0.424232403170529,0.00373935025678588,0.115938272961558,9.23178947999452e-05,0.00129323660580075,1.18426688874772e-06,2021847,67,0.119642857142857,0,0,0,0,1040,1.04798659387913
"NV","Nevada",1140845,9903.50549450549,323748,5586,412.940397350993,6.32450331125828,3034392,0.375971529057551,0.00326375283566049,0.106692872905017,0.000136086701174731,0.00184089596861579,2.08427365721313e-06,4395274,366,0.653571428571429,402,0.717857142857143,39,0.0696428571428571,1069,1.44848589107801
"NH","New Hampshire",645927,6952.56043956044,98726,1353,166.019867549669,1.43708609271523,1356458,0.476186509276365,0.00512552577341904,0.0727822018816653,0.00012239219168575,0.000997450713549553,1.05944016896596e-06,536766,106,0.189285714285714,147,0.2625,80,0.142857142857143,1027,0.395711477981626
"NJ","New Jersey",4234176,38453.1428571429,1016332,26212,1626.98675496689,22,8908520,0.475295110747913,0.0043164457010977,0.114085392410861,0.000182632665691595,0.00294235181601433,2.46954600764212e-06,6356447,504,0.9,415,0.741071428571429,80,0.142857142857143,1313,0.713524468710852
"NM","New Mexico",1007018,8263.54945054945,202821,4265,166.350993377483,4.50993377483444,2095428,0.480578669369694,0.0039436093488058,0.096792158928868,7.93875968906989e-05,0.00203538370204082,2.15227331830749e-06,4235236,496,0.885714285714286,444,0.792857142857143,0,0,1111,2.02117944400857
"NY","New York",9168746,84084.3626373626,2100633,52758,3276.48344370861,39.8013245033113,19542209,0.469176539868139,0.00430270511575036,0.10749209569911,0.000167661877104508,0.00269969479908848,2.03668502897043e-06,16648628,504,0.9,472,0.842857142857143,97,0.173214285714286,1104,0.851931734022495
"NC","North Carolina",3994819,33684.7692307692,1001893,13101,1234.09933774834,15.6622516556291,10383620,0.3847231505005,0.00324402946475018,0.0964878337227287,0.000118850587535787,0.00126169871393599,1.50836140533158e-06,9906905,375,0.669642857142857,322,0.575,53,0.0946428571428571,950,0.954089710524846
"ND","North Dakota",279110,2190.15384615385,109975,1543,77.6092715231788,0.629139072847682,760077,0.367212795545714,0.00288148943614114,0.144689288058973,0.000102107117467281,0.00203005748101837,8.27730707346337e-07,1038818,27,0.0482142857142857,65,0.116071428571429,0,0,1218,1.36672731841642
"OH","Ohio",4712525,41619.8131868132,1101934,19861,1052.54304635762,20.8211920529801,11689442,0.403143708656068,0.00356046192682364,0.094267459473258,9.00421975965676e-05,0.00169905458275938,1.78119640381296e-06,10780827,0,0,314,0.560714285714286,57,0.101785714285714,1247,0.922270455681289
"OK","Oklahoma",1372078,10435.1318681319,453172,7291,369.185430463576,19.9139072847682,3943079,0.347971217416643,0.00264644250549681,0.114928460728279,9.36287176755972e-05,0.00184906262339659,5.05034448581127e-06,4447054,0,0,0,0,44,0.0785714285714286,1139,1.12781255460517
"OR","Oregon",1925598,17136.967032967,201561,2700,423.066225165563,4.39735099337748,4190713,0.459491738040758,0.00408927240614354,0.0480970660601191,0.000100953280543326,0.000644281772576647,1.04930855283516e-06,4252619,501,0.894642857142857,364,0.65,88,0.157142857142857,1248,1.01477218793079
"PA","Pennsylvania",5590213,51734.9340659341,1206755,27268,1925.12582781457,25.0662251655629,12807060,0.436494636552027,0.00403956365207425,0.0942257629776077,0.000150317545776671,0.00212913814724066,1.95721931228267e-06,8954014,166,0.296428571428571,362,0.646428571428571,65,0.116071428571429,1172,0.699146720636899
"RI","Rhode Island",550238,5190.46153846154,151743,2708,183.781456953642,1.47682119205298,1057315,0.520410662858278,0.00490909666320968,0.143517305627935,0.000173819019831973,0.00256120456060871,1.39676557322367e-06,619228,77,0.1375,424,0.757142857142857,42,0.075,1332,0.585660848469945
"SC","South Carolina",1763281,15398.7582417582,593262,9736,656.76821192053,8.88741721854305,5084127,0.346820801289976,0.00302879102779263,0.116689059891698,0.000129180134941659,0.00191497970054643,1.74807144246063e-06,4551846,59,0.105357142857143,0,0,27,0.0482142857142857,926,0.895305329705572
"SD","South Dakota",376198,3076.04395604396,124191,2014,84.4105960264901,1.02649006622517,882235,0.426414730769013,0.00348664919895941,0.140768616071682,9.56781311402178e-05,0.00228283847274252,1.1635109310163e-06,1082013,0,0,0,0,0,0,1014,1.22644533485976
"TN","Tennessee",2274834,19811.9230769231,848020,12341,780.860927152318,8.68211920529801,6770010,0.336016342664191,0.00292642449227151,0.125261262538755,0.000115341177805102,0.00182289243295062,1.2824381655711e-06,9760301,80,0.142857142857143,0,0,27,0.0482142857142857,875,1.44169668877889
"UT","Utah",1045800,9527.43956043956,406240,2302,403.913907284768,3.3841059602649,3161105,0.330833679994812,0.00301395858740521,0.128512023485458,0.000127776175509756,0.00072822636388225,1.07054525561944e-06,6146947,45,0.0803571428571429,173,0.308928571428571,0,0,1180,1.94455641302646
"VT","Vermont",351246,3257.20879120879,24220,255,63.6092715231788,0.364238410596026,626299,0.560827975136476,0.00520072487934484,0.0386716248948186,0.000101563744350827,0.000407153771601104,5.8157271622025e-07,362274,503,0.898214285714286,317,0.566071428571429,52,0.0928571428571429,1113,0.578436178247131
"VA","Virginia",3871891,34353.3846153846,675538,11186,776.225165562914,18.205298013245,8517685,0.454570813548517,0.00403318326697743,0.0793100472722342,9.11310016234357e-05,0.00131326763081753,2.13735281514226e-06,8708541,113,0.201785714285714,351,0.626785714285714,60,0.107142857142857,978,1.02240702726152
"WA","Washington",3569981,32342.5934065934,437500,5809,866.205298013245,7.4635761589404,7535591,0.473749305130812,0.00429197834736431,0.0580578218748868,0.000114948555198026,0.00077087517090564,9.90443371852373e-07,8417658,502,0.896428571428571,402,0.717857142857143,70,0.125,1390,1.11705346004049
"WV","West Virginia",616711,4509.31868131868,161287,2792,231.576158940397,4.27814569536424,1805832,0.341510727465235,0.00249708648496576,0.0893145098768878,0.000128237930737963,0.00154610174146875,2.36907181585233e-06,1373434,56,0.1,348,0.621428571428571,42,0.075,1024,0.76055469168782
"WI","Wisconsin",2615618,22992.6373626374,674630,7856,461.470198675497,8.41721854304636,5813568,0.4499161272389,0.00395499585841902,0.116044054184969,7.93781372601983e-05,0.00135132159802724,1.4478575881535e-06,6578532,60,0.107142857142857,242,0.432142857142857,49,0.0875,970,1.13158253244823
"WY","Wyoming",185561,1438.32967032967,60144,719,70.5695364238411,0.695364238410596,577737,0.321185937545977,0.00248959244488352,0.104102731865884,0.000122148203116368,0.00124451091067389,1.20359997440115e-06,743940,0,0,97,0.173214285714286,0,0,1108,1.28767934198433
